Jahr,Ferienart,Dauer,Start,Ende,Anzahl_Tage
2013,Weihnachtsferien (2012/13),24.12.12 - 05.01.13,2012-12-24,2013-01-05,13
2013,Winterferien,-,,,
2013,Osterferien,25.03.13 - 09.04.13,2013-03-25,2013-04-09,16
2013,Pfingstferien*,10.05.13,2013-05-10,2013-05-10,1
2013,Sommerferien,24.06.13 - 03.08.13,2013-06-24,2013-08-03,41
2013,Herbstferien,04.10.13 - 18.10.13,2013-10-04,2013-10-18,15
2013,Weihnachtsferien (2013/14),23.12.13 - 06.01.14,2013-12-23,2014-01-06,15
2014,Weihnachtsferien (2013/14),23.12.13 - 06.01.14,2013-12-23,2014-01-06,15
2014,Winterferien,-,,,
2014,Osterferien,16.04.14 - 02.05.14,2014-04-16,2014-05-02,17
2014,Pfingstferien*,30.05.14,2014-05-30,2014-05-30,1
2014,Sommerferien,14.07.14 - 23.08.14,2014-07-14,2014-08-23,41
2014,Herbstferien,13.10.14 - 25.10.14,2014-10-13,2014-10-25,13
2014,Weihnachtsferien (2014/15),22.12.14 - 06.01.15,2014-12-22,2015-01-06,16
2015,Weihnachtsferien (2014/15),22.12.14 - 06.01.15,2014-12-22,2015-01-06,16
2015,Winterferien,-,,,
2015,Osterferien,01.04.15 - 17.04.15,2015-04-01,2015-04-17,17
2015,Pfingstferien*,15.05.15,2015-05-15,2015-05-15,1
2015,Sommerferien,20.07.15 - 29.08.15,2015-07-20,2015-08-29,41
2015,Herbstferien,19.10.15 - 31.10.15,2015-10-19,2015-10-31,13
2015,Weihnachtsferien (2015/16),21.12.15 - 06.01.16,2015-12-21,2016-01-06,17
2016,Weihnachtsferien (2015/16),21.12.15 - 06.01.16,2015-12-21,2016-01-06,17
2016,Winterferien,-,,,
2016,Osterferien,24.03.16 - 09.04.16,2016-03-24,2016-04-09,17
2016,Pfingstferien*,06.05.16,2016-05-06,2016-05-06,1
2016,Sommerferien,25.07.16 - 03.09.16,2016-07-25,2016-09-03,41
2016,Herbstferien,17.10.16 - 29.10.16,2016-10-17,2016-10-29,13
2016,Weihnachtsferien (2016/17),23.12.16 - 06.01.17,2016-12-23,2017-01-06,15
2017,Weihnachtsferien (2016/17),23.12.16 - 06.01.17,2016-12-23,2017-01-06,15
2017,Winterferien,-,,,
2017,Osterferien,07.04.17 - 21.04.17,2017-04-07,2017-04-21,15
2017,Pfingstferien*,26.05.17,2017-05-26,2017-05-26,1
2017,Sommerferien,24.07.17 - 02.09.17,2017-07-24,2017-09-02,41
2017,Herbstferien,16.10.17 - 27.10.17,2017-10-16,2017-10-27,12
2017,Weihnachtsferien (2017/18),21.12.17 - 06.01.18,2017-12-21,2018-01-06,17
2018,Weihnachtsferien (2017/18),21.12.17 - 06.01.18,2017-12-21,2018-01-06,17
2018,Winterferien,-,,,
2018,Osterferien,29.03.18 - 13.04.18,2018-03-29,2018-04-13,16
2018,Pfingstferien*,11.05.18,2018-05-11,2018-05-11,1
2018,Sommerferien,09.07.18 - 18.08.18,2018-07-09,2018-08-18,41
2018,Herbstferien,01.10.18 - 19.10.18,2018-10-01,2018-10-19,19
2018,Weihnachtsferien (2018/19),21.12.18 - 04.01.19,2018-12-21,2019-01-04,15
