category,Niederschlag
2013/01,78.3
2013/02,26.9
2013/03,-999
2013/04,0
2013/05,143.1
2013/06,43.5
2013/07,58
2013/08,47.4
2013/09,71.3
2013/10,72.9
2013/11,54.2
2013/12,68.2
2014/01,59
2014/02,48.4
2014/03,26.3
2014/04,80.9
2014/05,47.6
2014/06,56.7
2014/07,42.3
2014/08,106.6
2014/09,47.7
2014/10,54.5
2014/11,24.1
2014/12,187.5
2015/01,131.5
2015/02,25.8
2015/03,66.7
2015/04,20
2015/05,74.6
2015/06,33.6
2015/07,124.7
2015/08,49.5
2015/09,64
2015/10,42.7
2015/11,157.6
2015/12,75.2
2016/01,81.5
2016/02,85.1
2016/03,27.9
2016/04,64.2
2016/05,27.2
2016/06,93.6
2016/07,87
2016/08,53.8
2016/09,41.3
2016/10,79.2
2016/11,32.1
2016/12,42.9
2017/01,38.9
2017/02,58.5
2017/03,49.9
2017/04,46.8
2017/05,41.8
2017/06,117.7
2017/07,100.4
2017/08,61.1
2017/09,76.4
2017/10,124.7
2017/11,89.2
2017/12,82.7
2018/01,94.8
2018/02,22.7
2018/03,45.7
2018/04,73.2
2018/05,24.4
2018/06,31.9
2018/07,7.8
2018/08,65.6
2018/09,39.3
2018/10,39.6
2018/11,20.3
2018/12,64.1
