category,Höchstwert,Tiefstwert,Mittelwert
2013/01,,,2.1
2013/02,,,0.3
2013/03,,,
2013/04,,,
2013/05,23.7,-3,12.3
2013/06,27,5.9,14.9
2013/07,29.1,7.6,18.4
2013/08,33.4,8.9,18
2013/09,26.7,4,13.7
2013/10,18.9,3.1,11.7
2013/11,11.6,-5.1,6.1
2013/12,12.1,-2.5,5.2
2014/01,11,-10.8,1.9
2014/02,13.2,-2,5.4
2014/03,19.3,-2.9,6.8
2014/04,19.3,-1.4,9.5
2014/05,29,0,12.5
2014/06,28.9,5.3,15.6
2014/07,29.5,9.4,20.3
2014/08,28.4,5.6,16.5
2014/09,26,4.5,15.9
2014/10,22.4,0.9,13
2014/11,18.6,-0.3,7.7
2014/12,11,-3.4,3.7
2015/01,11.8,-6.9,3
2015/02,8.7,-4.6,2.4
2015/03,16.7,-2.6,5.4
2015/04,19.9,-2.2,7.9
2015/05,24.2,0,10.9
2015/06,25.5,4,14.1
2015/07,29.4,7,17.1
2015/08,30.4,6.4,18.5
2015/09,20.4,4.7,13.6
2015/10,18.4,1.6,9.9
2015/11,17,-0.2,8.3
2015/12,13.7,0,7.9
2016/01,11.2,-8.3,1.1
2016/02,11.7,-5.6,3.5
2016/03,14,-3.4,4.5
2016/04,21.1,-3.3,7.2
2016/05,27.2,1.5,13.6
2016/06,29.9,8.4,17.1
2016/07,29.1,8.8,17.8
2016/08,30.5,7.7,17.1
2016/09,29.9,8.1,17.5
2016/10,17.6,0.8,9.8
2016/11,13.6,-5.7,4.6
2016/12,11.1,-4.8,4.8
2017/01,7.9,-8.9,1.3
2017/02,11.1,-4.3,2.8
2017/03,21.9,-2.5,6.5
2017/04,18.4,-2,7.2
2017/05,26.3,-0.9,13.3
2017/06,26.7,5,16.3
2017/07,26.4,6.7,16.7
2017/08,27.2,7.2,16.9
2017/09,23.7,6.5,13.9
2017/10,20.2,3.6,12
2017/11,13.8,-1,6.3
2017/12,11.5,-2,4.2
2018/01,13.1,-6.4,3.4
2018/02,6.7,-10.6,-0.2
2018/03,13.8,-7.9,1.7
2018/04,26.9,-1.8,9.8
2018/05,26.5,1.1,14.8
2018/06,26,8.6,16.8
2018/07,33.7,8.5,19.8
2018/08,35.1,9,18.6
2018/09,29.2,2.8,14.7
2018/10,25.2,2.3,11.6
2018/11,13.6,-2,6.4
2018/12,11.4,-1.1,5.2
